# Dat.                  	P-PA 	A-POLY-O	A-POLYN-O	A-SINH	A-NEU-O	A-RR 	N-COM-O	N-NEU-O	L-REG	L-HEAT	X-SQU
Ratings:Epinions [[ER]]                  	NaN	0.457	0.457	0.457	0.457	0.312	NaN	NaN	NaN	NaN	0.456
Communication:Filmtipset [[Fc]]                  	0.692	0.604	0.603	0.603	0.603	0.505	0.600	0.598	NaN	NaN	0.644
Ratings:Filmtipset [[Fr]]                  	NaN	0.652	0.652	0.652	0.652	0.544	NaN	NaN	NaN	NaN	0.655
Features:Flickr [[FG]]                  	NaN	0.671	0.669	0.669	0.669	0.500	NaN	NaN	NaN	NaN	0.678
Authorship:Github [[GH]]                  	0.690	0.603	0.599	0.600	0.599	0.501	0.688	0.688	0.413	0.413	0.638
Features:English-Wikipedia [[EX]]                  	0.690	0.646	0.645	0.645	0.645	0.500	0.476	0.476	NaN	NaN	0.661
Features:Reuters-21578 [[R2]]                  	0.690	0.655	0.656	0.658	0.658	0.501	0.575	0.566	NaN	NaN	0.676
Ratings:Jester [[JE]]                  	0.501	0.574	0.571	0.581	0.580	0.458	0.588	0.588	0.547	0.494	0.579
Interaction:Last.fm [[Lb]]                  	NaN	0.941	0.942	0.942	0.942	0.929	NaN	NaN	NaN	NaN	0.939
Interaction:Last.fm [[Ls]]                  	NaN	0.843	0.844	0.844	0.844	0.747	NaN	NaN	NaN	NaN	0.839
Ratings:MovieLens-100k [[M1]]                  	0.000	0.626	0.626	0.626	0.626	0.616	0.642	0.639	0.641	0.657	0.662
Ratings:MovieLens-10M [[M3]]                  	0.000	0.608	0.608	0.608	0.608	0.491	0.612	0.612	NaN	NaN	0.614
Folksonomy:MovieLens [[M_{ti}]]              	0.868	0.865	0.865	0.865	0.865	0.742	0.874	0.872	0.786	0.786	0.864
Folksonomy:MovieLens [[M_{ui}]]              	0.772	0.711	0.708	0.708	0.708	0.657	0.765	0.761	0.676	0.677	0.726
Folksonomy:MovieLens [[M_{ut}]]              	0.899	0.801	0.803	0.803	0.803	0.656	0.853	0.837	0.627	0.626	0.815
Ratings:MovieLens-1M [[M2]]                  	0.000	0.688	0.688	0.688	0.688	0.608	0.708	0.708	0.635	0.648	0.707
Folksonomy:Twitter [[W_{ti}]]              	0.953	0.919	0.919	0.919	0.919	0.750	0.953	0.954	NaN	NaN	0.902
Folksonomy:Twitter [[W_{ui}]]              	NaN	0.754	0.754	0.754	0.754	0.690	NaN	NaN	NaN	NaN	0.753
Folksonomy:Twitter [[W_{ut}]]              	NaN	0.786	0.784	0.784	0.785	0.688	NaN	NaN	NaN	NaN	0.784
Folksonomy:vi.sualize.us [[V_{ti}]]              	0.714	0.650	0.630	0.630	0.629	0.528	0.713	0.713	0.319	0.319	0.654
Folksonomy:vi.sualize.us [[V_{ui}]]              	0.758	0.754	0.753	0.753	0.753	0.595	0.758	0.758	0.554	0.554	0.753
Folksonomy:vi.sualize.us [[V_{ut}]]              	0.877	0.806	0.806	0.806	0.806	0.773	0.876	0.875	0.491	0.491	0.807
Features:Prosper.com [[PS]]                  	0.949	0.902	0.913	0.919	0.919	0.731	0.760	0.600	0.847	0.848	0.909
Features:Prosper.com [[PW]]                  	0.697	0.732	0.736	0.735	0.735	0.597	0.838	0.788	0.792	0.793	0.809
Features:Reuters [[RE]]                  	NaN	0.670	0.653	0.653	0.652	0.500	NaN	NaN	NaN	NaN	0.679
Features:English-Wikipedia [[WC]]                  	0.675	0.649	0.651	0.651	0.651	0.500	0.688	0.688	NaN	NaN	0.658
Features:YouTube [[YG]]                  	0.687	0.598	0.607	0.607	0.607	0.500	0.661	0.660	0.551	0.551	0.629
